,Age,WorkClass,fnlwgt,Edu_num,Marital_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,hpweek,Native_Country,Income
92,28,Private,212563,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,0
12658,44,Private,172025,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
44508,24,Private,43535,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,0
16232,18,Private,145005,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
17424,44,Private,244974,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
32414,29,Private,83742,9,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States,0
27267,62,Private,181014,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
35150,41,Private,152617,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
25714,34,Private,329587,6,Separated,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
15180,25,Private,356017,7,Never-married,Other-service,Not-in-family,White,Male,0,0,99,United-States,0
14549,52,Private,187356,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,41,United-States,0
27081,62,Private,138253,14,Never-married,Handlers-cleaners,Not-in-family,White,Male,4650,0,40,United-States,0
37922,19,Private,192773,9,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,0
42992,18,Private,209735,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,0
29189,40,Private,56072,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,0
48272,24,Private,127159,10,Never-married,Other-service,Other-relative,White,Female,0,0,24,United-States,0
1899,23,Private,119838,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,0
17302,60,Private,132529,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
26687,34,Private,310525,9,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,10,United-States,0
23170,17,Private,132636,7,Never-married,Transport-moving,Own-child,White,Female,0,0,16,United-States,0
29967,19,Private,351195,5,Never-married,Prof-specialty,Other-relative,White,Male,0,1719,35,OtherCountry,0
32600,20,Private,257509,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
1196,51,Local-gov,176813,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
28280,17,Private,401198,7,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,0
38632,49,Local-gov,199862,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,40,United-States,0
29506,34,Private,169583,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0
13495,65,Private,115890,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,0
14231,20,Private,197752,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,16,United-States,0
48344,30,Private,473133,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
16149,40,Private,353432,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,0
29731,21,Private,132053,10,Never-married,Adm-clerical,Own-child,White,Female,0,1721,35,United-States,0
30454,36,Private,255454,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,30,United-States,0
41148,37,Private,78488,9,Never-married,Other-service,Not-in-family,White,Female,0,0,32,United-States,0
41618,41,Self-emp-not-inc,197176,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0
44391,30,Private,361280,13,Never-married,Prof-specialty,Not-in-family,OtherRace,Male,0,0,40,United-States,0
21317,47,Private,207140,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,0
15238,73,Private,243030,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,0
31602,25,Private,421467,12,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,26,United-States,0
17985,44,State-gov,96249,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3411,0,40,United-States,0
37320,77,Private,88545,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,8,United-States,0
43669,29,Local-gov,158703,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
20826,81,Private,147097,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,5,United-States,0
16435,18,Private,446771,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,United-States,0
8028,47,Private,114770,9,Divorced,Other-service,Own-child,White,Female,0,0,32,United-States,0
8637,25,Private,182227,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,0
48768,18,Private,78181,10,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,0
34188,25,Private,306908,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
24617,36,Local-gov,28996,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
48739,28,Private,179008,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United-States,0
37514,19,Private,243942,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
12043,39,Private,188540,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,0
35419,44,Private,197033,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
20239,43,Private,172577,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,0
30007,38,State-gov,462832,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,OtherCountry,0
8679,28,Private,274679,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
12579,24,Private,69640,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
5129,60,Self-emp-not-inc,143932,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
1178,47,Private,45857,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
12619,40,Private,408229,2,Never-married,Other-service,Not-in-family,White,Male,0,0,45,OtherCountry,0
2306,42,Private,37869,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
33652,38,Private,34378,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
31835,27,Private,198197,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,0
7252,26,Private,177929,13,Never-married,Sales,Not-in-family,White,Male,0,0,48,United-States,0
17491,19,Private,168693,9,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,0
37867,28,Private,298510,12,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
40602,18,Private,352430,7,Never-married,Prof-specialty,Own-child,White,Male,0,1602,30,United-States,0
20246,55,Self-emp-not-inc,147098,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
46777,18,Private,190776,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,0
35051,22,Private,114357,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,0
35097,36,Private,103886,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States,0
2147,58,Private,187487,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
11977,41,Local-gov,575442,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
32692,24,Private,247846,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,0
2482,18,Private,230875,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
10332,24,Private,329530,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,OtherCountry,0
14450,21,Private,26410,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
16490,72,Private,173427,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,OtherCountry,0
9077,20,Private,266400,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,48,United-States,0
1573,19,Private,124265,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
36844,72,Self-emp-not-inc,28865,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,14,United-States,0
14133,32,Private,107793,9,Divorced,Other-service,Own-child,White,Male,2174,0,40,United-States,0
7715,24,Private,249351,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0
48780,29,Private,337953,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,36,United-States,0
40430,35,Local-gov,26987,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,45,United-States,0
1543,59,Local-gov,165695,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
44267,49,Private,99340,3,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,OtherCountry,0
47389,48,Private,194526,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
28345,46,Private,695411,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,0
4077,59,Private,160362,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
7282,45,Private,347321,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
11618,52,Private,82285,13,Married-spouse-absent,Other-service,Other-relative,Black,Female,0,0,40,OtherCountry,0
26411,60,Private,113440,13,Divorced,Exec-managerial,Own-child,White,Male,0,0,60,United-States,0
28961,37,Private,50862,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,0
46131,22,Private,105686,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
19672,69,Private,269499,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,8,United-States,0
46296,65,Private,113293,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
46967,40,Private,269168,9,Married-civ-spouse,Machine-op-inspct,Husband,OtherRace,Male,0,0,40,United-States,0
20040,26,Private,258768,10,Never-married,Transport-moving,Not-in-family,Black,Male,2174,0,75,United-States,0
32078,25,Private,242464,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
6329,25,Private,25249,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
2530,21,Private,294789,10,Never-married,Other-service,Not-in-family,White,Female,0,0,25,United-States,0
36413,48,Private,129777,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
29163,51,Federal-gov,100653,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,0
13316,37,Private,191137,12,Divorced,Prof-specialty,Unmarried,White,Male,0,0,25,United-States,0
27460,28,Private,163772,9,Married-civ-spouse,Other-service,Husband,OtherRace,Male,0,0,40,United-States,0
14350,23,Private,62278,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
32314,18,Other,153663,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,4,United-States,0
34947,26,Private,199224,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,0
17927,34,Self-emp-not-inc,226296,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,51,United-States,0
9301,19,Private,250639,10,Never-married,Other-service,Own-child,White,Male,0,0,24,United-States,0
36976,28,Self-emp-not-inc,107458,9,Never-married,Craft-repair,Own-child,White,Male,0,0,45,United-States,0
42978,20,Private,257470,10,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,0
31353,24,Private,125905,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
2813,24,Private,379066,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,24,United-States,0
14173,40,Self-emp-inc,102226,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
48775,52,Private,137984,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0
8757,22,Private,335453,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,16,United-States,0
11302,43,Private,184099,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
6612,19,Private,195985,9,Never-married,Other-service,Not-in-family,White,Female,0,0,50,United-States,0
5698,51,Private,240988,7,Married-civ-spouse,Machine-op-inspct,Husband,OtherRace,Male,0,0,40,OtherCountry,0
